"Recipient(s):","Pakistan","","Flow(s):","ODA","","Amount:","Constant Prices (2014 USD millions)","","Type of Aid:","All Types, Total","","Flow Type(s):","Net Disbursements","","Channels:","All Channels, Total","",

"","","Time Period","2010","2011","2012","2013","2014","2015",
"Sector(s)","Donor(s)",
"I.1.d. Post-Secondary Education, Total","Austria","","2.508613","1.605893","1.180269","1.469594","1.577498","2.256979"
"I.1.d. Post-Secondary Education, Total","Belgium","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Canada","","..","..","..","..","..","0.086"
"I.1.d. Post-Secondary Education, Total","Czech Republic","","..","0.03003","0.017019","0.014328","0.006703",".."
"I.1.d. Post-Secondary Education, Total","Denmark","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Finland","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","France","","3.824639","3.067464","3.194225","2.432456","2.281652","2.02393"
"I.1.d. Post-Secondary Education, Total","Germany","","21.71293","22.166474","24.191625","24.920228","28.312547","33.991389"
"I.1.d. Post-Secondary Education, Total","Greece","","0.210173","0.16636","0.164603","0.11064","0.113639","0.115568"
"I.1.d. Post-Secondary Education, Total","Iceland","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Ireland","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Italy","","..","0.072943","0.095945","0.062951","0.009139","0.138139"
"I.1.d. Post-Secondary Education, Total","Japan","","0.517985","1.613242","1.244374","1.248849","1.588152","0.321153"
"I.1.d. Post-Secondary Education, Total","Korea","","0.424229","0.709759","0.384011","0.198884","..","0.029405"
"I.1.d. Post-Secondary Education, Total","Luxembourg","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Netherlands","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","New Zealand","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Norway","","0.20494","0.112441","0.063593","0.114355","0.039671","0.090728"
"I.1.d. Post-Secondary Education, Total","Poland","","..","..","..","0.013898","0.016977","0.016267"
"I.1.d. Post-Secondary Education, Total","Portugal","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Slovak Republic","","..","..","..","0.008837","..",".."
"I.1.d. Post-Secondary Education, Total","Slovenia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Spain","","0.030401","0.01406","0.126652","..","..",".."
"I.1.d. Post-Secondary Education, Total","Sweden","","..","0.003777","0.210968","0.399","1.314159","0.485275"
"I.1.d. Post-Secondary Education, Total","Switzerland","","..","..","..","0.051277","0.324243","0.586061"
"I.1.d. Post-Secondary Education, Total","United Kingdom","","2.827691","0.618944","1.80741","5.249491","7.838537","9.185141"
"I.1.d. Post-Secondary Education, Total","United States","","101.812405","7.88498","4.686861","2.467795","5.16273","13.770938"
"I.1.d. Post-Secondary Education, Total","Bulgaria","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Croatia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Cyprus","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Estonia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Hungary","","..","..","..","..","..","0.039413"
"I.1.d. Post-Secondary Education, Total","Israel","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Kazakhstan","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Kuwait (KFAED)","","5.677186","7.523601","9.538278","3.698914","1.927089",".."
"I.1.d. Post-Secondary Education, Total","Latvia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Liechtenstein","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Lithuania","","..","..","..","..","..","0.011263"
"I.1.d. Post-Secondary Education, Total","Malta","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Romania","","..","..","..","..","0.081407","0.131173"
"I.1.d. Post-Secondary Education, Total","Russia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Saudi Arabia","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Chinese Taipei","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Thailand","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Timor Leste","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","Turkey","","..","..","..","..","..",".."
"I.1.d. Post-Secondary Education, Total","United Arab Emirates","","0.09556","..","0.115933","..","7.20534",".."
"I.2.a. Health, General, Total","Australia","","6.742463","0.179661","..","..","..",".."
"I.2.a. Health, General, Total","Austria","","0.001354","..","..","..","..",".."
"I.2.a. Health, General, Total","Belgium","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Canada","","1.330224","1.615503","0.519568","2.669397","0.133593","4.155402"
"I.2.a. Health, General, Total","Czech Republic","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Denmark","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Finland","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","France","","0.068661","..","..","..","6.611206",".."
"I.2.a. Health, General, Total","Germany","","0.027316","0.065751","4.053342","3.778396","3.462934","3.922259"
"I.2.a. Health, General, Total","Greece","","..","0.006268","..","..","..",".."
"I.2.a. Health, General, Total","Iceland","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Ireland","","..","0.022844","..","..","..",".."
"I.2.a. Health, General, Total","Italy","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Japan","","1.557111","1.017799","1.706386","1.304335","0.560098","0.378187"
"I.2.a. Health, General, Total","Korea","","0.097994","0.116343","0.200058","..","0.080505",".."
"I.2.a. Health, General, Total","Luxembourg","","..","0.024472","..","..","..","0.043413"
"I.2.a. Health, General, Total","Netherlands","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","New Zealand","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Norway","","..","-0.025481","..","..","..","0.107609"
"I.2.a. Health, General, Total","Poland","","..","..","..","..","..","0.021174"
"I.2.a. Health, General, Total","Portugal","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Slovak Republic","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Slovenia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Spain","","..","..","..","0.139649","0.125925",".."
"I.2.a. Health, General, Total","Sweden","","..","..","..","..","0.040963","0.032093"
"I.2.a. Health, General, Total","Switzerland","","..","..","..","0.046954","..",".."
"I.2.a. Health, General, Total","United Kingdom","","1.805687","1.215471","0.092308","0.194629","..",".."
"I.2.a. Health, General, Total","United States","","..","0.010512","0.540524","0.001912","0.37702",".."
"I.2.a. Health, General, Total","Bulgaria","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Croatia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Cyprus","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Estonia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Hungary","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Israel","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Kazakhstan","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Kuwait (KFAED)","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Latvia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Liechtenstein","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Lithuania","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Malta","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Romania","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Russia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Saudi Arabia","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Chinese Taipei","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Thailand","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Timor Leste","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","Turkey","","..","..","..","..","..",".."
"I.2.a. Health, General, Total","United Arab Emirates","","0.784821","1.392325","20.341229","71.142878","21.36747","19.009233"
"I.2.b. Basic Health, Total","Australia","","9.022725","10.935097","16.252041","9.84964","6.403832","4.571872"
"I.2.b. Basic Health, Total","Austria","","0.002356","0.092561","0.022587","0.091219","0.006507",".."
"I.2.b. Basic Health, Total","Belgium","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Canada","","0.756958","0.325395","1.143089","20.697399","2.279375","6.843368"
"I.2.b. Basic Health, Total","Czech Republic","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Denmark","","0.2709","0.354408","0.18885","..","..",".."
"I.2.b. Basic Health, Total","Finland","","0.188726","0.171066","0.178425","..","..",".."
"I.2.b. Basic Health, Total","France","","..","0.544391","0.537992","..","0.265358",".."
"I.2.b. Basic Health, Total","Germany","","13.028926","17.426245","7.126268","12.600383","8.78686","7.665067"
"I.2.b. Basic Health, Total","Greece","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Iceland","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Ireland","","0.033745","..","..","..","..",".."
"I.2.b. Basic Health, Total","Italy","","0.000697","..","..","..","..","0.002641"
"I.2.b. Basic Health, Total","Japan","","4.592524","22.14187","32.152735","2.430262","17.178999","6.912226"
"I.2.b. Basic Health, Total","Korea","","0.01507","..","..","..","..",".."
"I.2.b. Basic Health, Total","Luxembourg","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Netherlands","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","New Zealand","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Norway","","4.710002","0.084674","0.168422","0.546587","0.350703","1.079758"
"I.2.b. Basic Health, Total","Poland","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Portugal","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Slovak Republic","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Slovenia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Spain","","..","..","..","..","0.003257","0.002156"
"I.2.b. Basic Health, Total","Sweden","","0.008418","0.014628","0.04049","0.184161","0.207761","0.113659"
"I.2.b. Basic Health, Total","Switzerland","","0.083638","..","0.084476","..","..",".."
"I.2.b. Basic Health, Total","United Kingdom","","0.14073","0.264526","..","..","0.011113","0.745202"
"I.2.b. Basic Health, Total","United States","","12.624872","14.341898","10.346205","9.620885","7.34959","4.178325"
"I.2.b. Basic Health, Total","Bulgaria","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Croatia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Cyprus","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Estonia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Hungary","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Israel","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Kazakhstan","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Kuwait (KFAED)","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Latvia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Liechtenstein","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Lithuania","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Malta","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Romania","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Russia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Saudi Arabia","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Chinese Taipei","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Thailand","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Timor Leste","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","Turkey","","..","..","..","..","..",".."
"I.2.b. Basic Health, Total","United Arab Emirates","","..","2.537986","16.432501","7.008863","16.07727","23.634936"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Australia","","0.874918","5.473164","..","5.749446","3.325342","1.964605"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Austria","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Belgium","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Canada","","0.452066","1.268276","0.525389","0.714935","0.548004",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Czech Republic","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Denmark","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Finland","","0.106259","0.018651","0.015286","..","0.109454","0.105855"
"I.3. Population Policies/Programmes & Reproductive Health, Total","France","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Germany","","4.973336","2.16626","2.832634","6.8738","8.831509","9.263787"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Greece","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Iceland","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Ireland","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Italy","","..","..","..","..","0.025855",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Japan","","..","0.426474","0.057123","0.049841","0.03284","0.075131"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Korea","","..","0.100188","0.132449","0.165834","..","0.025265"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Luxembourg","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Netherlands","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","New Zealand","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Norway","","5.422521","5.080459","..","3.189097","1.951793","0.04807"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Poland","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Portugal","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Slovak Republic","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Slovenia","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Spain","","..","..","..","..","..","0.004221"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Sweden","","0.034671","0.038398","0.108277","0.338562","0.101668","0.097131"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Switzerland","","0.004384","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","United Kingdom","","1.084066","13.274283","29.733123","67.782128","25.229276","87.094618"
"I.3. Population Policies/Programmes & Reproductive Health, Total","United States","","59.735696","44.29284","53.861769","63.614726","57.92673","102.725943"
"I.3. Population Policies/Programmes & Reproductive Health, Total","Bulgaria","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Croatia","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Cyprus","","..","..","..","..","..",".."
"I.3. Population Policies/Programmes & Reproductive Health, Total","Estonia","","..","..","..","..","..",".."
